PERINGKAT,NAMA PROVINSI,NAMA KABUPATEN,NAMA KECAMATAN,"K0DE DESADAGRI 72/2019",NAMA DESA,"NILAI IDM2021","STATUS IDMDESA 2021"
"69,277",KALIMANTAN BARAT,LANDAK,JELIMPO,6108112001,TEMAHAR,0.4913,TERTINGGAL
"69,278",KALIMANTAN UTARA,NUNUKAN,LUMBIS OGONG,6503152019,KALAMBUKU,0.4913,TERTINGGAL
"69,279",MALUKU UTARA,HALMAHERA SELATAN,BACAN TIMUR TENGAH,8204222001,WAYATIM,0.4913,TERTINGGAL
"69,280",MALUKU UTARA,HALMAHERA SELATAN,MANDIOLI UTARA,8204202004,LELEONGUSU,0.4913,TERTINGGAL
"69,281",PAPUA,ASMAT,FAYIT,9118052024,AKAN TAPAK,0.4913,TERTINGGAL
"69,282",PAPUA BARAT,FAK FAK,KAYAUNI,9203152008,RANGKENDAK,0.4913,TERTINGGAL
"69,283",PAPUA BARAT,RAJA AMPAT,KEPULAUAN AYAU,9205052001,DOREHKAR,0.4913,TERTINGGAL
"69,284",SULAWESI TENGGARA,KOLAKA UTARA,POREHU,7408122005,LARUI,0.4913,TERTINGGAL
"69,285",SUMATERA UTARA,MANDAILING NATAL,ULU PUNGKUT,1213112013,TOLANG,0.4913,TERTINGGAL
"69,286",KALIMANTAN TENGAH,GUNUNG MAS,MIRI MANASA,6210092005,RANGAN HIRAN,0.4911,TERTINGGAL
"69,287",MALUKU UTARA,HALMAHERA TIMUR,MABA UTARA,8206092001,SOSOLAT,0.4911,TERTINGGAL
"69,288",NUSA TENGGARA TIMUR,SUMBA BARAT DAYA,WEWEWA BARAT,5318042016,KALEMBU KANAIKA,0.4911,TERTINGGAL
"69,289",NUSA TENGGARA TIMUR,TIMOR TENGAH SELATAN,POLEN,5302132009,OELNUNUH,0.4911,TERTINGGAL
"69,290",PAPUA BARAT,MANOKWARI,PRAFI,9202042016,MEBJI,0.4911,TERTINGGAL
"69,291",SULAWESI TENGAH,BUOL,MOMUNU,7205012021,SORAYA,0.4911,TERTINGGAL
"69,292",SUMATERA SELATAN,OGAN KOMERING ULU SELATAN,BUAY PEMACA,1609092014,SUMBER RAYA,0.4911,TERTINGGAL
"69,293",KALIMANTAN TENGAH,MURUNG RAYA,TANAH SIANG,6212022023,OLUNG DOJOU,0.4910,TERTINGGAL
"69,294",KALIMANTAN TIMUR,KUTAI BARAT,NYUATAN,6407162009,SENTALAR,0.4910,TERTINGGAL
"69,295",KALIMANTAN UTARA,NUNUKAN,LUMBIS OGONG,6503152044,DUYAN,0.4910,TERTINGGAL
"69,296",NUSA TENGGARA TIMUR,ALOR,PANTAR BARU LAUT,5305172003,LAMMA,0.4910,TERTINGGAL
"69,297",NUSA TENGGARA TIMUR,TIMOR TENGAH SELATAN,MOLLO UTARA,5302032012,LELOBOKO,0.4910,TERTINGGAL
"69,298",PAPUA,WAROPEN,DEMBA,9115132009,FAFAI,0.4910,TERTINGGAL
"69,299",PAPUA BARAT,SORONG SELATAN,KAIS DARAT,9204262005,MOGATEMIN,0.4910,TERTINGGAL
"69,300",SULAWESI SELATAN,LUWU,BASSE SANGTEMPE,7317012013,MAPPETAJANG,0.4910,TERTINGGAL
"69,301",SUMATERA SELATAN,OGAN KOMERING ULU,PENGANDONAN,1601082006,BELAMBANGAN,0.4910,TERTINGGAL
"69,302",KALIMANTAN TENGAH,GUNUNG MAS,KAHAYAN HULU UTARA,6210042012,TUMBANG KORIK,0.4908,TERTINGGAL
"69,303",MALUKU,BURU SELATAN,LEKSULA,8109052007,MEPA,0.4908,TERTINGGAL
"69,304",MALUKU UTARA,HALMAHERA SELATAN,KEPULAUAN JORONGA,8204252007,YOMEN,0.4908,TERTINGGAL
"69,305",NUSA TENGGARA TIMUR,ALOR,LEMBUR,5305152003,TALWAI,0.4908,TERTINGGAL
"69,306",PAPUA,ASMAT,AKAT,9118042010,WAW,0.4908,TERTINGGAL
"69,307",SULAWESI UTARA,KEPULAUAN SANGIHE,TATOARENG,7103112005,DALAKO BEMBANEHE,0.4908,TERTINGGAL
"69,308",SUMATERA UTARA,NIAS,IDANOGAWO,1204102017,AHEDANO,0.4908,TERTINGGAL
"69,309",ACEH,ACEH UTARA,SAMUDERA,1108082023,PUUK,0.4906,SANGAT TERTINGGAL
"69,310",ACEH,ACEH UTARA,SAWANG,1108152023,LANCOK,0.4906,SANGAT TERTINGGAL
"69,311",NUSA TENGGARA TIMUR,ENDE,NDONA TIMUR,5308162005,KURULIMBU SELATAN,0.4906,SANGAT TERTINGGAL
"69,312",PAPUA,INTAN JAYA,HOMEYO,9127022002,BILAI DUA/ SANEPA,0.4906,SANGAT TERTINGGAL
"69,313",PAPUA,KEEROM,TOWE,9111072001,TOWE HITAM,0.4906,SANGAT TERTINGGAL
"69,314",PAPUA,KEEROM,WEB,9111042005,EMBI,0.4906,SANGAT TERTINGGAL
"69,315",PAPUA,WAROPEN,OUDATE,9115112001,BOTAWA,0.4906,SANGAT TERTINGGAL
"69,316",PAPUA BARAT,FAK FAK,FAK-FAK TIMUR,9203032010,WERI,0.4906,SANGAT TERTINGGAL
"69,317",PAPUA BARAT,FAK FAK,TOMAGE,9203172004,TOMAGE,0.4906,SANGAT TERTINGGAL
"69,318",PAPUA BARAT,TAMBRAUW,BAMUSBAMA,9209142001,BAMUSBAMA,0.4906,SANGAT TERTINGGAL
"69,319",SULAWESI BARAT,MAMASA,MAMBI,7603012024,PAMOSEAN,0.4906,SANGAT TERTINGGAL
"69,320",SULAWESI SELATAN,TANA TORAJA,MAPPAK,7318282005,SANGPEPARIKAN,0.4906,SANGAT TERTINGGAL
"69,321",SUMATERA UTARA,NIAS BARAT,SIROMBU,1225022017,TOGIMBOGI,0.4906,SANGAT TERTINGGAL
"69,322",ACEH,ACEH SELATAN,TRUMON TIMUR,1101162010,SEUNEUBOK PUSAKA,0.4905,SANGAT TERTINGGAL
"69,323",ACEH,ACEH UTARA,SAWANG,1108152013,BLANG REULING,0.4905,SANGAT TERTINGGAL
"69,324",JAMBI,TANJUNG JABUNG TIMUR,S A D U,1507052006,SUNGAI BENUH,0.4905,SANGAT TERTINGGAL
"69,325",MALUKU,BURU,LOLONG GUBA,8104112008,TIFU,0.4905,SANGAT TERTINGGAL
"69,326",MALUKU,BURU SELATAN,LEKSULA,8109052018,SLEALALE,0.4905,SANGAT TERTINGGAL
"69,327",NUSA TENGGARA TIMUR,ENDE,WOLOWARU,5308082020,LIKANAKA,0.4905,SANGAT TERTINGGAL
"69,328",PAPUA,WAROPEN,MASIREI,9115032019,WAIRO,0.4905,SANGAT TERTINGGAL
"69,329",PAPUA BARAT,MANOKWARI,MASNI,9202052045,UREY,0.4905,SANGAT TERTINGGAL
