PERINGKAT,NAMA PROVINSI,NAMA KABUPATEN,NAMA KECAMATAN,"K0DE DESADAGRI 72/2019",NAMA DESA,"NILAI IDM2021","STATUS IDMDESA 2021"
"56,625",JAMBI,KERINCI,KELILING DANAU,1501082011,SEMERAP,0.5990,BERKEMBANG
"56,626",JAMBI,KERINCI,SIULAK,1501162006,SIULAK KECIL MUDIK,0.5990,BERKEMBANG
"56,627",JAMBI,TANJUNG JABUNG TIMUR,MENDAHARA ULU,1507092003,SUNGAI TOMAN,0.5990,BERKEMBANG
"56,628",JAMBI,TANJUNG JABUNG TIMUR,MUARA SABAK TIMUR,1507012001,ALANG-ALANG,0.5990,BERKEMBANG
"56,629",JAWA BARAT,CIAMIS,PANUMBANGAN,3207072014,BUANAMEKAR,0.5990,BERKEMBANG
"56,630",JAWA TENGAH,BLORA,TODANAN,3316142012,KETILENG,0.5990,BERKEMBANG
"56,631",JAWA TENGAH,KEBUMEN,PURING,3305032006,PURWOSARI,0.5990,BERKEMBANG
"56,632",JAWA TENGAH,MAGELANG,KAJORAN,3308122007,NGENDROSARI,0.5990,BERKEMBANG
"56,633",JAWA TENGAH,MAGELANG,KALIANGKRIK,3308132008,PENGARENGAN,0.5990,BERKEMBANG
"56,634",JAWA TENGAH,SRAGEN,PLUPUH,3314022006,MANYAREJO,0.5990,BERKEMBANG
"56,635",JAWA TIMUR,BANGKALAN,MODUNG,3526162012,PAKONG,0.5990,BERKEMBANG
"56,636",JAWA TIMUR,KEDIRI,TAROKAN,3506202006,SUMBERDUREN,0.5990,BERKEMBANG
"56,637",JAWA TIMUR,TUBAN,SENORI,3523052006,WONOSARI,0.5990,BERKEMBANG
"56,638",KALIMANTAN BARAT,LANDAK,AIR BESAR,6108052012,TENGUWE,0.5990,BERKEMBANG
"56,639",KALIMANTAN SELATAN,BALANGAN,TEBING TINGGI,6311082011,AJUNG,0.5990,BERKEMBANG
"56,640",KALIMANTAN SELATAN,KOTABARU,KELUMPANG TENGAH,6302092003,TANAH RATA,0.5990,BERKEMBANG
"56,641",KALIMANTAN TENGAH,KOTAWARINGIN TIMUR,TUALAN HULU,6202162005,SEBUNGSU,0.5990,BERKEMBANG
"56,642",LAMPUNG,LAMPUNG UTARA,TANJUNG RAJA,1803042003,MERAMBUNG,0.5990,BERKEMBANG
"56,643",MALUKU UTARA,HALMAHERA TIMUR,WASILE SELATAN,8206042018,AKE JAWI,0.5990,BERKEMBANG
"56,644",NUSA TENGGARA TIMUR,FLORES TIMUR,SOLOR TIMUR,5306072003,LEBAO,0.5990,BERKEMBANG
"56,645",NUSA TENGGARA TIMUR,KUPANG,AMABI OEFETO TIMUR,5301202003,NUNMAFO,0.5990,BERKEMBANG
"56,646",NUSA TENGGARA TIMUR,KUPANG,NEKAMESE,5301162004,USAPI SONBAI,0.5990,BERKEMBANG
"56,647",NUSA TENGGARA TIMUR,LEMBATA,ILE APE,5313032025,BEUTARAN,0.5990,BERKEMBANG
"56,648",PAPUA,NABIRE,NABIRE,9104012011,KALISUSU,0.5990,BERKEMBANG
"56,649",RIAU,KUANTAN SINGINGI,LOGAS TANAH DARAT,1409102006,RAMBAHAN,0.5990,BERKEMBANG
"56,650",RIAU,SIAK,KOTO GASIB,1408092010,SRI GEMILANG,0.5990,BERKEMBANG
"56,651",SULAWESI TENGAH,BANGGAI,NUHON,7201132016,BATU HITAM,0.5990,BERKEMBANG
"56,652",SULAWESI TENGAH,BANGGAI KEPULAUAN,TINANGKUNG SELATAN,7207112002,PAISUMUSONI,0.5990,BERKEMBANG
"56,653",SULAWESI TENGAH,BUOL,BUNOBOGU,7205042003,BOTUGOLU,0.5990,BERKEMBANG
"56,654",SULAWESI TENGAH,SIGI,PALOLO,7210022011,BAKUBAKULU,0.5990,BERKEMBANG
"56,655",SULAWESI TENGGARA,BOMBANA,POLEANG TENGGARA,7406122003,TERAPUNG,0.5990,BERKEMBANG
"56,656",SULAWESI TENGGARA,BUTON TENGAH,SANGIA WAMBULU,7414072004,BARUTA,0.5990,BERKEMBANG
"56,657",SULAWESI TENGGARA,BUTON UTARA,KAMBOWA,7410022008,MATA,0.5990,BERKEMBANG
